Event_Name,Event_Date,Location,Venue,Organizer_Name,Contact_Email,Contact_Phone,Event_URL,Ticket_Price,Expected_Attendance,ESS_Opportunity_Score,Revenue_Potential,Priority_Level,Discovery_Source,Discovery_Time,Next_Action,Call_Script_Notes,Email_Template_Tag
Business Excellence Intensive 2026,2026-04-03,New York NY,Marriott New,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/intensive2026,$997,968,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Networking 2026,2026-07-29,New York NY,Marriott New,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/networking2026,$497,939,85,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Summit 2026,2026-04-14,Dallas TX,Dallas Conference Center,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/summit2026,$497,716,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:26,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Training 2026,2026-07-03,Dallas TX,Hilton Dallas Downtown,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,$497,880,85,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:26,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Mastermind 2026,2026-08-28,Dallas TX,Hyatt Regency Dallas,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/mastermind2026,$697,756,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:26,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Summit 2026,2026-04-27,Dallas TX,Marriott Dallas,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$1,997",507,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:26,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Training 2026,2026-04-07,Atlanta GA,Hilton Atlanta Downtown,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,$697,880,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:26,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,business_template
Business Excellence Conference 2026,2026-07-19,Atlanta GA,Hilton Atlanta Downtown,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/conference2026,$497,928,75,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:26,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,business_template
Business Excellence Conference 2026,2026-06-20,Atlanta GA,Atlanta Conference Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/conference2026,"$1,997",393,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:26,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Conference 2026,2026-05-06,Chicago IL,Chicago Conference Center,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/conference2026,$997,647,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:27,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Training 2026,2026-08-27,Chicago IL,Hyatt Regency Chicago,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,$697,578,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:27,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Summit 2026,2026-06-29,Chicago IL,Chicago Convention Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$1,997",731,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:27,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Entrepreneur Success Training 2026,2026-03-31,Miami FL,Miami Conference Center,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/training2026,$697,1059,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:28,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,general_template
Entrepreneur Success Conference 2026,2026-05-26,Miami FL,Miami Conference Center,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/conference2026,$697,655,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:28,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Mastermind 2026,2026-05-05,Miami FL,Marriott Miami,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/mastermind2026,$497,713,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:28,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Conference 2026,2026-04-05,Los Angeles CA,Marriott Los,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/conference2026,$697,1030,85,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:28,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Summit 2026,2026-07-21,Los Angeles CA,Hilton Los Downtown,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$1,997",569,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:28,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Seminar 2026,2026-05-18,Los Angeles CA,Hilton Los Downtown,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/seminar2026,$997,1084,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:28,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,general_template
Entrepreneur Success Workshop 2026,2026-07-10,Los Angeles CA,Los Conference Center,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/workshop2026,"$1,997",454,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:28,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Training 2026,2026-04-30,Los Angeles CA,Hilton Los Downtown,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,$697,1181,70,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:28,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,general_template
Entrepreneur Success Intensive 2026,2026-04-30,New York NY,Hilton New Downtown,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/intensive2026,$997,1177,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:29,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Workshop 2026,2026-08-03,New York NY,New Conference Center,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/workshop2026,$997,624,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:29,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Seminar 2026,2026-06-23,New York NY,New Conference Center,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/seminar2026,$497,939,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:29,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,general_template
Entrepreneur Success Workshop 2026,2026-06-15,New York NY,New Conference Center,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/workshop2026,"$2,497",324,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:29,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Conference 2026,2026-08-18,Dallas TX,Dallas Convention Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/conference2026,"$2,497",389,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:29,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Summit 2026,2026-06-01,Dallas TX,Dallas Conference Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$3,497",202,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:29,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Summit 2026,2026-07-17,Dallas TX,Dallas Convention Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$2,997",381,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:29,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Summit 2026,2026-07-17,Atlanta GA,Hilton Atlanta Downtown,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/summit2026,$497,1145,70,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:30,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,general_template
Entrepreneur Success Intensive 2026,2026-04-24,Atlanta GA,Marriott Atlanta,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/intensive2026,"$1,497",563,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:30,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Summit 2026,2026-06-12,Atlanta GA,Hilton Atlanta Downtown,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/summit2026,$497,1197,70,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:30,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,general_template
Entrepreneur Success Summit 2026,2026-07-24,Atlanta GA,Atlanta Conference Center,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/summit2026,$997,925,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:30,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,general_template
Entrepreneur Success Seminar 2026,2026-04-22,Chicago IL,Chicago Conference Center,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/seminar2026,$997,504,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:30,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Training 2026,2026-04-26,Chicago IL,Hilton Chicago Downtown,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/training2026,"$1,297",497,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:30,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Mastermind 2026,2026-07-06,Chicago IL,Chicago Conference Center,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/mastermind2026,"$1,297",341,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:30,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Training 2026,2026-05-31,Chicago IL,Hyatt Regency Chicago,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/training2026,"$1,297",501,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:30,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Entrepreneur Success Summit 2026,2026-07-24,Chicago IL,Hilton Chicago Downtown,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/summit2026,$697,602,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:30,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",general_template
Real Estate Wealth Workshop 2026,2026-08-01,Miami FL,Hyatt Regency Miami,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/workshop2026,"$1,497",755,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Workshop 2026,2026-04-21,Miami FL,Hyatt Regency Miami,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/workshop2026,$997,660,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Intensive 2026,2026-07-21,Miami FL,Hilton Miami Downtown,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/intensive2026,$997,758,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Training 2026,2026-07-31,Miami FL,Hyatt Regency Miami,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/training2026,$997,1120,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:31,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,real_estate_template
Real Estate Wealth Conference 2026,2026-05-08,Miami FL,Miami Convention Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/conference2026,"$1,997",796,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Summit 2026,2026-06-10,Los Angeles CA,Hilton Los Downtown,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$2,997",260,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Training 2026,2026-06-14,Los Angeles CA,Los Convention Center,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,$697,991,75,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:31,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,real_estate_template
Real Estate Wealth Intensive 2026,2026-05-16,Los Angeles CA,Marriott Los,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/intensive2026,"$1,497",594,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Summit 2026,2026-08-26,Los Angeles CA,Marriott Los,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/summit2026,"$1,297",717,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Workshop 2026,2026-06-16,Los Angeles CA,Hilton Los Downtown,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/workshop2026,"$1,497",769,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:31,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Training 2026,2026-04-22,New York NY,Hilton New Downtown,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,$697,854,75,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:32,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,real_estate_template
Real Estate Wealth Conference 2026,2026-05-31,New York NY,Marriott New,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/conference2026,"$2,997",293,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:32,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Conference 2026,2026-08-07,New York NY,New Conference Center,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/conference2026,"$1,297",745,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:32,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Intensive 2026,2026-06-16,New York NY,New Convention Center,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/intensive2026,"$2,497",378,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:32,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Mastermind 2026,2026-06-11,Dallas TX,Hilton Dallas Downtown,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/mastermind2026,"$1,297",550,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:33,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Seminar 2026,2026-05-22,Dallas TX,Dallas Convention Center,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/seminar2026,$697,505,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:33,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Seminar 2026,2026-07-18,Dallas TX,Hilton Dallas Downtown,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/seminar2026,$497,694,85,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:33,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Training 2026,2026-05-09,Atlanta GA,Hilton Atlanta Downtown,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,"$1,297",687,75,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:33,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,real_estate_template
Real Estate Wealth Networking 2026,2026-08-17,Atlanta GA,Marriott Atlanta,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/networking2026,$997,1071,60,$10K-$15K ESS Deal,MEDIUM PRIORITY,advanced_finder,2026-03-01 16:10:33,"Email outreach, qualify via phone",Potential ESS fit - needs qualification,real_estate_template
Real Estate Wealth Intensive 2026,2026-08-12,Atlanta GA,Atlanta Conference Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/intensive2026,"$1,497",606,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:33,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Training 2026,2026-08-13,Atlanta GA,Marriott Atlanta,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/training2026,$497,824,70,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:33,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,real_estate_template
Real Estate Wealth Workshop 2026,2026-04-16,Chicago IL,Chicago Conference Center,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/workshop2026,"$1,997",710,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:34,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Real Estate Wealth Networking 2026,2026-06-11,Chicago IL,Hilton Chicago Downtown,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/networking2026,$997,794,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:34,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,real_estate_template
Real Estate Wealth Workshop 2026,2026-08-21,Chicago IL,Chicago Convention Center,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/workshop2026,$997,715,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:34,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",real_estate_template
Sales Mastery Summit 2026,2026-04-05,Miami FL,Hilton Miami Downtown,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/summit2026,$497,1011,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:34,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,sales_template
Sales Mastery Summit 2026,2026-06-20,Miami FL,Hyatt Regency Miami,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/summit2026,$497,1071,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:34,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,sales_template
Sales Mastery Conference 2026,2026-07-13,Miami FL,Hilton Miami Downtown,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/conference2026,"$2,497",251,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:34,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",sales_template
Sales Mastery Summit 2026,2026-06-01,Miami FL,Hilton Miami Downtown,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$3,497",472,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:34,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",sales_template
